"county","direct_estimate","fh_estimate","fitted_value","random_effects","shrinkage_factor","delta"
"Grundy",0.075711473062466,0.077651526044053,0.119211954199944,-0.0415604281558913,0.955401574169819,-0.001940052981587
"Plymouth",0.055922258892556,0.0584111059455038,0.119211954199944,-0.0608008482544406,0.960675319404528,-0.00248884705294779
"Lucas",0.114551083591331,0.114961414069661,0.119211954199944,-0.00425054013028336,0.911962696932264,-0.000410330478330001
"Calhoun",0.196750195771339,0.18946404855968,0.119211954199944,0.0702520943597355,0.906031565018787,0.00728614721165916
"Lee",0.116846319679704,0.116949256443895,0.119211954199944,-0.00226269775604927,0.956486615616085,-0.000102936764191083
"Scott",0.096769440947202,0.0970341634537764,0.119211954199944,-0.022177790746168,0.988204417945837,-0.000264722506574361
"Mitchell",0.103268498095047,0.1048768464048,0.119211954199944,-0.0143351077951442,0.899121727486734,-0.00160834830975314
"Worth",0.090934924694515,0.0939658503966793,0.119211954199944,-0.025246103803265,0.892813150632305,-0.00303092570216432
"Cass",0.103600182287711,0.104933738338432,0.119211954199944,-0.0142782158615121,0.914580096467058,-0.00133355605072127
"Clinton",0.119245726688975,0.119244618909773,0.119211954199944,3.2664709829104e-05,0.967198769372867,1.1077792015507e-06
"Palo Alto",0.191989551589029,0.183492310080631,0.119211954199944,0.0642803558806862,0.883243720413435,0.00849724150839845
"Emmet",0.163791311577635,0.157832904131295,0.119211954199944,0.0386209499313502,0.866341558137348,0.00595840744634046
"Keokuk",0.112704918032787,0.113065923075143,0.119211954199944,-0.00614603112480178,0.944520818221719,-0.000361005042355575
"Buchanan",0.119170415889389,0.119173348673056,0.119211954199944,-3.86055268878537e-05,0.929395692114366,-2.93278366750305e-06
"Washington",0.092155057788688,0.0933320188747101,0.119211954199944,-0.0258799353252342,0.956500514023017,-0.00117696108602212
"Polk",0.063617657145657,0.0638220968238512,0.119211954199944,-0.0553898573760932,0.996322650181284,-0.00020443967819421
"Marshall",0.086331789573685,0.0875853529185767,0.119211954199944,-0.0316266012813676,0.961874785021892,-0.00125356334489173
"Dallas",0.063173502078424,0.0643468949423942,0.119211954199944,-0.0548650592575501,0.979060933706275,-0.00117339286397025
"Butler",0.095679012345679,0.0966377425397173,0.119211954199944,-0.0225742116602271,0.959260078915102,-0.000958730194038276
"Clay",0.109864930053063,0.11089244920828,0.119211954199944,-0.00831950499166411,0.89006991540082,-0.00102751915521725
"Des Moines",0.094718744963198,0.0956005123224758,0.119211954199944,-0.0236114418774686,0.963999517141474,-0.000881767359277794
"Page",0.107927677329624,0.108746907219208,0.119211954199944,-0.0104650469807365,0.927400763115036,-0.000819229889583897
"Delaware",0.147138628515047,0.144714909009854,0.119211954199944,0.0255029548099097,0.913211309093035,0.00242371950519291
"Audubon",0.099397590361446,0.101135993830074,0.119211954199944,-0.0180759603698708,0.912265491701029,-0.00173840346862757
"Montgomery",0.141954022988506,0.138178887184454,0.119211954199944,0.0189669329845099,0.834002093690329,0.00377513580405175
"Hamilton",0.149604111682178,0.145750157287862,0.119211954199944,0.0265382030879181,0.873192470900809,0.00385395439431555
"Winneshiek",0.082482238010657,0.0839363994847861,0.119211954199944,-0.0352755547151582,0.96040912849326,-0.00145416147412911
"Bremer",0.078358564219747,0.080122771685027,0.119211954199944,-0.0390891825149174,0.956816130408392,-0.00176420746527994
"Tama",0.135079609655881,0.134164712137526,0.119211954199944,0.0149527579375816,0.942341984870062,0.000914897518355051
"Boone",0.101189980860448,0.102271298493868,0.119211954199944,-0.0169406557060759,0.940000042556346,-0.00108131763342044
"Henry",0.097920380273321,0.0994350941648009,0.119211954199944,-0.0197768600351435,0.928858528885653,-0.00151471389147985
"Warren",0.050147492625369,0.0519233181264036,0.119211954199944,-0.0672886360735408,0.974287419889359,-0.00177582550103455
"Pottawattamie",0.078861910471623,0.07925824147633,0.119211954199944,-0.0399537127236144,0.990177680912182,-0.000396331004706998
"Johnson",0.068889539452397,0.0696447026000935,0.119211954199944,-0.0495672515998509,0.984993503362569,-0.000755163147696483
"Linn",0.068535634857481,0.0688362276476313,0.119211954199944,-0.0503757265523131,0.994068377616004,-0.000300592790150267
"Dubuque",0.068958042294908,0.0696320025421784,0.119211954199944,-0.0495799516577659,0.986588899814526,-0.000673960247270441
"Story",0.065563288493225,0.066889756704024,0.119211954199944,-0.0523221974959203,0.975274907710651,-0.00132646821079906
"Carroll",0.091186048954722,0.0935144789125807,0.119211954199944,-0.0256974752873637,0.916918653028858,-0.00232842995785867
"Wapello",0.104228855721393,0.104875125158724,0.119211954199944,-0.0143368290412203,0.956866769696787,-0.000646269437331079
"Dickinson",0.396426537585421,0.38349787855005,0.119211954199944,0.264285924350106,0.953362269482795,0.0129286590353711
"Cerro Gordo",0.130209264890002,0.129724200757288,0.119211954199944,0.0105122465573433,0.955892477135078,0.000485064132714375
"Mahaska",0.095623167896492,0.0968617067023568,0.119211954199944,-0.0223502474975875,0.947494593832344,-0.00123853880586482
"Cedar",0.093643862202814,0.0950809585985573,0.119211954199944,-0.024130995601387,0.943793365734737,-0.00143709639574331
